loss_train,loss_val
2.8527578901164516,2.783677816390991
2.7928472760014,2.819655418395996
2.7829691135840204,2.7996249198913574
2.778654024445499,2.796316385269165
2.7759550129006887,2.794071912765503
2.773608325107771,2.80305814743042
2.771385394749813,2.800947427749634
2.7696585597970853,2.7972664833068848
2.7679354014172346,2.7855098247528076
2.765924849216924,2.8119637966156006
2.7649372464100397,2.7975375652313232
2.763038704324899,2.7953596115112305
2.7618402420070614,2.791802406311035
2.7607046999886964,2.7503459453582764
2.759415079800946,2.732795238494873
2.7589399910930332,2.7787325382232666
2.7576686994528203,2.7771410942077637
2.7571913099728222,2.7743306159973145
2.75626894350005,2.753605842590332
2.7561788668195772,2.739149570465088
